序号,日期,标题,url,解读评论,媒体名称,分类,调性分,质量分,正负面,导入时间,发布时间,曝光,点击,CTR,位置
2145,5.9,刘强东：京东物流在国内还没有真正意义上的对手,http://view.inews.qq.com/a/20180509A074XT00,,智观察,科技,中,3,中,2018/5/9 7:24,2018/5/9 6:38,--,--,--,"科技频道-精品池,石家庄地方站-精品池"
2146,5.9,重新发明58同城：新服务业的全赋能者,http://view.inews.qq.com/a/20180509A1QZ0R00,,懂懂笔记,科技,中,3,中,2018/5/9 22:07,2018/5/9 20:34,--,--,--,科技频道-精品池
2147,5.9,华大基因和它培养的挑战者,http://view.inews.qq.com/a/20180509A1QRDM00,,商业人物,科技,中,3,中,2018/5/9 22:03,2018/5/9 20:30,--,--,--,科技频道-精品池
2148,5.9,Uber联手军方、NASA推进飞行汽车研究，五年让你打上飞的,http://view.inews.qq.com/a/20180509A1RO4100,,猎云网,科技,中,3,中,2018/5/9 22:03,2018/5/9 20:42,--,--,--,科技频道-精品池
2149,5.9,东南亚二手手机市场需求剧增，引发中外“倒爷”大战,http://view.inews.qq.com/a/20180509A1R0OV00,,懂懂笔记,数码,中,3,中,2018/5/9 21:58,2018/5/9 20:34,--,--,--,科技频道-精品池
2150,5.9,Fictiv获1500万美元B轮投资，做制造行业“爱彼迎” ,http://view.inews.qq.com/a/20180509A1CZAP00,,创新工场,科技,中,3,中,2018/5/9 21:44,2018/5/9 17:51,--,--,--,科技频道-精品池
2151,5.9,WindLink3.0 、智行、GKUI，自主车企的智能比拼,http://view.inews.qq.com/a/20180509A1GW6000,,新智驾,科技,中,3,中,2018/5/9 21:42,2018/5/9 18:26,--,--,--,科技频道-精品池
2152,5.9,手机+ AI 为猪称重，智凯科技想让百万养猪散户实现智能养猪,http://view.inews.qq.com/a/20180509A1FGOK00,,36氪,农林牧副渔,中,3,中,2018/5/9 21:39,2018/5/9 18:13,--,--,--,科技频道-精品池
2153,5.9,苹果新专利：Apple Watch打算用圆形表盘？,http://view.inews.qq.com/a/20180509V14XLL00,,,其他,中,3,中,2018/5/9 17:38,2018/5/9 16:36,--,--,--,"数码频道-精品池,科技频道-精品池"
2154,5.9,谷歌CEO展示神奇AI语音功能 可像真人一样打预约电话,http://view.inews.qq.com/a/20180509V0C4JL00,,,其他,高,3,中,2018/5/9 9:20,2018/5/9 8:57,--,--,--,"科技频道-精品池,数码频道-精品池,Top频道-精品池,科技频道-热点池"
2155,5.9,科技股参考｜微博新浪发布财报后双双大跌超10%,http://view.inews.qq.com/a/TEC2018050903610900,,腾讯科技,财经,高,3,中,2018/5/9 20:50,2018/5/9 20:48,--,--,--,"科技频道-精品池,Top频道-精品池"
2156,5.9,尽管手机颓势席卷全球 iPhone X一季度仍是欧洲销量冠军,http://view.inews.qq.com/a/TEC2018050903549100,,腾讯科技,数码,高,3,中,2018/5/9 20:14,2018/5/9 20:10,--,--,--,"科技频道-精品池,Top频道-精品池,科技频道-热点池"
2157,5.9,张近东的“提款机”：苏宁拟再次出售阿里股份 套现15亿美元,http://view.inews.qq.com/a/20180509A1OKO000,,全天候科技,财经,高,3,中,2018/5/9 20:25,2018/5/9 20:08,--,--,--,"科技频道-精品池,科技频道-热点池,Top频道-精品池"
2158,5.9,苹果拿下新专利，Apple Watch即将迎来圆形表盘,http://view.inews.qq.com/a/20180509A1OYK700,,猎云网,数码,中,3,中,2018/5/9 20:19,2018/5/9 20:11,--,--,--,"科技频道-精品池,数码频道-精品池"
2159,5.9,定义AI，麦卡锡、图灵、乔丹……我们听谁的？,http://view.inews.qq.com/a/20180509A18NTA00,,乌镇智库,科技,中,3,中,2018/5/9 20:07,2018/5/9 17:12,--,--,--,科技频道-精品池
2160,5.9,步步高200余家门店陆续上线京东到家,http://view.inews.qq.com/a/20180509A17T9F00,,雷锋网,科技,中,3,中,2018/5/9 20:07,2018/5/9 17:05,--,--,--,科技频道-精品池
2161,5.9,AI 市场中的“非典型”落地公司，以及它的“护城河”,http://view.inews.qq.com/a/20180509A17KL200,,极客公园,科技,中,3,中,2018/5/9 20:06,2018/5/9 17:03,--,--,--,科技频道-精品池
2162,5.9,更多小米7工程机谍照：大刘海+大下巴 比iPhone X还丑,http://view.inews.qq.com/a/20180509A17C6800,,数码巴哥菌,数码,中,3,中,2018/5/9 17:07,2018/5/9 17:00,--,--,--,"数码频道-精品池,科技频道-精品池"
2163,5.9,激光雷达差点事，无人驾驶抖三抖,http://view.inews.qq.com/a/20180509A1O16I00,,科技新知,科技,中,3,中,2018/5/9 20:05,2018/5/9 20:01,--,--,--,科技频道-精品池
2164,5.9,用白话解读拼多多为何火爆：打掉3个维度的溢价,http://view.inews.qq.com/a/20180509A1NCR000,,丁道师,科技,中,3,中,2018/5/9 19:57,2018/5/9 19:50,--,--,--,科技频道-精品池
2165,5.9,比尔盖茨装修奢华的豪宅曝光！占地超过40个足球场你信吗？,http://view.inews.qq.com/a/20180509A1H18G00,,科学的fan,科技,中,3,中,2018/5/9 19:53,2018/5/9 18:27,--,--,--,科技频道-精品池
2166,5.9,4年后老罗再怼ZEALER王自如：“你们要是胆敢来……”,http://view.inews.qq.com/a/20180509A1HLMT00,,TechWeb,数码,中,3,中,2018/5/9 19:51,2018/5/9 18:34,--,--,--,科技频道-精品池
2167,5.9,不服来辩！历代iPhone颜值排名来了：最丑的竟然是它,http://view.inews.qq.com/a/20180509V1B0XV00,,,其他,中,3,中,2018/5/9 19:48,2018/5/9 17:52,--,--,--,科技频道-精品池
2168,5.9,大佬产业排行榜曝光：第一是他？公司数量是马云的五倍！,http://view.inews.qq.com/a/20180509A1I8O200,,科学的fan,科技,中,3,中,2018/5/9 19:48,2018/5/9 18:40,--,--,--,科技频道-精品池
2169,5.9,沃尔玛同意160亿美元收购印度电商Flipkart77%股权,http://view.inews.qq.com/a/TEC2018050903497400,,腾讯科技,科技,高,3,中,2018/5/9 19:35,2018/5/9 19:33,--,--,--,"科技频道-精品池,科技频道-热点池"
2170,5.9,拼多多单品销量排行榜曝光，排第一的是卫生纸，第二你肯定想不到,http://view.inews.qq.com/a/20180509A1J4CU00,,多少说,科技,中,3,中,2018/5/9 19:34,2018/5/9 18:51,--,--,--,科技频道-精品池
2171,5.9,腾讯与英国国际贸易部达成战略合作 推动数字文创一揽子项目落地,http://view.inews.qq.com/a/TEC2018050903470100,,腾讯科技,科技,高,3,中,2018/5/9 19:16,2018/5/9 19:16,--,--,--,"科技频道-精品池,Top频道-精品池"
2172,5.9,史上最彪悍的大疆融资落幕，投资人挥泪,http://view.inews.qq.com/a/20180509A1INCY00,,钛媒体APP,科技,高,5,中,2018/5/9 19:20,2018/5/9 18:44,--,--,--,"科技频道-精品池,Top频道-精品池"
2173,5.9,专访麦飞科技宫华泽：AI+无人机遥感监测如何升级传统农业,http://view.inews.qq.com/a/20180509A1JYX000,,雷锋网,科技,中,3,中,2018/5/9 19:25,2018/5/9 19:05,--,--,--,科技频道-精品池
2174,5.9,汤姆·李：纽约共识会议临近，比特币将迎久违大涨,http://view.inews.qq.com/a/20180509A1IC4S00,,信链社,财经,中,3,中,2018/5/9 19:23,2018/5/9 18:41,--,--,--,科技频道-精品池
2175,5.9,狙击OV 三星中端产品S8 Lite即将发布：5月21日见,http://view.inews.qq.com/a/20180509A1IA0O00,,雷科技,数码,中,3,中,2018/5/9 18:48,2018/5/9 18:40,--,--,--,"数码频道-精品池,科技频道-精品池"
2176,5.9,入局超级节点竞选，蚂蚁矿池：EOS最大的风险在于人的管理,http://view.inews.qq.com/a/20180509A1ICI400,,信链社,社会,中,3,中,2018/5/9 19:20,2018/5/9 18:41,--,--,--,科技频道-精品池
2177,5.9,为苹果点赞：为禁止开发者滥用用户数据，官方下架大量APP,http://view.inews.qq.com/a/20180509A1IMRF00,,雷科技,科技,中,3,中,2018/5/9 18:48,2018/5/9 18:44,--,--,--,"数码频道-精品池,Top频道-精品池,科技频道-精品池"
2178,5.9,佛罗里达州发生一起特斯拉Model S撞墙事故 造成3人死伤,http://view.inews.qq.com/a/TEC2018050903462700,,腾讯科技,社会,高,3,中,2018/5/9 19:12,2018/5/9 19:11,--,--,--,科技频道-精品池
2179,5.9,孙正义证实：沃尔玛签署收购Flipkart控股股权最终协议,http://view.inews.qq.com/a/TEC2018050903433300,,腾讯科技,科技,高,3,中,2018/5/9 18:56,2018/5/9 18:54,--,--,--,"科技频道-精品池,Top频道-精品池"
2180,5.9,中投中财联合领投睿科微电子A轮,http://view.inews.qq.com/a/TEC2018050903427100,,新华社,科技,中,3,中,2018/5/9 18:57,2018/5/9 18:51,--,--,--,科技频道-精品池
2181,5.9,高盛、花旗看高京东股票 目标价超50美元,http://view.inews.qq.com/a/TEC2018050903068900,,腾讯科技,科技,高,4,中,2018/5/9 18:31,2018/5/9 16:40,834804,5124,0.61%,"科技频道-精品池,Top频道-精品池"
2182,5.9,“看见”行人却不避让，Uber测试车致死事故或与其软件有关,http://view.inews.qq.com/a/20180509A1GWPC00,,新智驾,科技,高,4,中,2018/5/9 18:33,2018/5/9 18:26,--,--,--,"科技频道-精品池,Top频道-精品池"
2183,5.9,险峰长青和IDG联合投资智能广告服务品牌Mobisummer,http://view.inews.qq.com/a/20180509A13KMH00,,动点科技,科技,中,3,中,2018/5/9 18:36,2018/5/9 16:13,--,--,--,科技频道-精品池
2184,5.9,如何在《绝地求生》的小岛上投资房地产,http://view.inews.qq.com/a/20180509A1FR1Z00,,腾讯研究院,游戏,高,3,中,2018/5/9 18:28,2018/5/9 18:15,--,--,--,"科技频道-精品池,Top频道-精品池"
2185,5.9,杨奇虎：数字音乐市场的“死而复生”,http://view.inews.qq.com/a/20180509A1FRT300,,腾讯研究院,科技,高,3,中,2018/5/9 18:28,2018/5/9 18:16,--,--,--,"科技频道-精品池,Top频道-精品池"
2186,5.9,腾讯正在参与制定一个国际标准，让看片儿更简单,http://view.inews.qq.com/a/20180509A1FQ3500,,腾讯研究院,科技,高,3,中,2018/5/9 18:28,2018/5/9 18:15,--,--,--,"科技频道-精品池,Top频道-精品池"
2187,5.9,沃尔玛官网第五代iPad降价 仅售249美元,http://view.inews.qq.com/a/20180509A135R000,,驱动之家,数码,中,3,中,2018/5/9 16:41,2018/5/9 16:07,--,--,--,"数码频道-精品池,科技频道-精品池"
2188,5.9,继腾讯云之后，灵雀云再获英特尔战略投资 | 钛快讯,http://view.inews.qq.com/a/20180509A146K900,,钛媒体APP,科技,中,3,中,2018/5/9 18:33,2018/5/9 16:21,--,--,--,科技频道-精品池
2189,5.9,力子机器人完成千万Pre-A轮融资 专注研发工业智能无人叉车,http://view.inews.qq.com/a/20180509A14BM000,,投资界,科技,中,3,中,2018/5/9 17:07,2018/5/9 16:23,--,--,--,"汽车频道-精品池,科技频道-精品池"
2190,5.9,苹果强制应用更新适配 iPhone X 和 iOS 11,http://view.inews.qq.com/a/20180509A1ER8A00,,动点科技,数码,中,3,中,2018/5/9 18:33,2018/5/9 18:08,--,--,--,科技频道-精品池
2191,5.9,2018 Google I/O：AI就是一切,http://view.inews.qq.com/a/20180509A12QCM00,,界面,科技,中,3,中,2018/5/9 18:32,2018/5/9 16:03,--,--,--,科技频道-精品池
2192,5.9,三分钟看懂  Google I/O 2018,http://view.inews.qq.com/a/20180509V10S7J00,,,其他,中,3,中,2018/5/9 16:30,2018/5/9 15:38,--,--,--,"职场频道-精品池,科技频道-精品池"
2193,5.9,社交+电商？社交+知识付费？社交+一切！,http://view.inews.qq.com/a/20180509A1GGN600,,36氪,科技,中,3,中,2018/5/9 18:24,2018/5/9 18:22,--,--,--,科技频道-精品池
2194,5.9,一线 | 最大折扣1折 京东推出最强商家返点激励政策,http://view.inews.qq.com/a/TEC2018050903057400,,一线,科技,高,3,中,2018/5/9 16:39,2018/5/9 16:38,--,--,--,"科技频道-精品池,韶关地方站-精品池,独家频道-精品池"
2195,5.9,阿里巴巴发布“公益财报”，马云完成75个公益时,http://view.inews.qq.com/a/20180509A1C3FU00,,AI财经社,科技,高,3,中,2018/5/9 18:10,2018/5/9 17:43,--,--,--,"科技频道-精品池,Top频道-精品池"
2196,5.9,软银2017财年运营利润创纪录 达118.7亿美元,http://view.inews.qq.com/a/TEC2018050903329000,,腾讯科技,财经,高,3,中,2018/5/9 18:12,2018/5/9 18:09,--,--,--,"科技频道-精品池,Top频道-精品池"
2197,5.9,小游戏拒绝“分享滥用”行为，请开发者注意,http://view.inews.qq.com/a/TEC2018050903201800,,微信公开课,游戏,高,3,中,2018/5/9 17:29,2018/5/9 17:25,--,--,--,"科技频道-精品池,Top频道-精品池"
2198,5.9,拖欠押金不履行判决，小鸣单车被广东消委会申请强制执行,http://view.inews.qq.com/a/TEC2018050903257000,,人民日报,法律,高,3,中,2018/5/9 17:41,2018/5/9 17:40,--,--,--,"科技频道-精品池,Top频道-精品池"
2199,5.9,新浪第一季度净营收4.4亿美元 同比增长59%,http://view.inews.qq.com/a/TEC2018050903285600,,腾讯科技,财经,高,3,中,2018/5/9 17:49,2018/5/9 17:48,219858,1270,0.58%,"科技频道-精品池,Top频道-精品池"
2200,5.9,微博第一季度净利润9910万美元，同比增长111%,http://view.inews.qq.com/a/TEC2018050903278800,,腾讯科技,财经,高,3,中,2018/5/9 17:49,2018/5/9 17:45,351982,8080,2.30%,"科技频道-精品池,Top频道-精品池"
2201,5.9,零售三连：吃得很盒马、喝得连咖啡、穿得很MUJI,http://view.inews.qq.com/a/20180509A0YV2500,,吴怼怼,科技,中,3,中,2018/5/9 15:19,2018/5/9 15:05,--,--,--,科技频道-精品池
2202,5.9,阿里云最新估值670亿美元 2024年营收预计285亿美元,http://view.inews.qq.com/a/20180509A13KNK00,,36氪,科技,中,3,中,2018/5/9 16:19,2018/5/9 16:13,--,--,--,"股票频道-精品池,科技频道-精品池,韶关地方站-精品池"
2203,5.9,盗用用户计算资源挖坑 联想在内的300多家网站被植入恶意脚本,http://view.inews.qq.com/a/20180509A13HJT00,,界面,科技,中,3,中,2018/5/9 16:18,2018/5/9 16:11,--,--,--,"科技频道-精品池,韶关地方站-精品池"
2204,5.9,董明珠再度回应与雷军10亿赌约：两人根本不在一个地球,http://view.inews.qq.com/a/20180509A142YK00,,科技新知,科技,高,3,中,2018/5/9 16:21,2018/5/9 16:20,--,--,--,"科技频道-精品池,Top频道-精品池,汕尾地方站-精品池,韶关地方站-精品池"
2205,5.9,深网 | 谷歌人工智能再进化：从模拟人声到电池管理无所不包,http://view.inews.qq.com/a/TEC2018050900801000,,深网,科技,中,4,中,2018/5/9 8:19,2018/5/9 9:28,--,--,--,"科技频道-精品池,Top频道-精品池,数码频道-精品池,独家频道-精品池,珠海地方站-精品池,云浮地方站-精品池"
2206,5.9,九安医疗：小米2500万美元的投资款已到位,http://view.inews.qq.com/a/20180509A175AL00,,AI财经社,科技,高,3,中,2018/5/9 17:00,2018/5/9 16:58,--,--,--,"科技频道-精品池,Top频道-精品池"
2207,5.9,程维：滴滴未来将不再以竞争和烧钱为导向,http://view.inews.qq.com/a/20180509A0PE6D00,,36氪,科技,高,3,中,2018/5/9 13:16,2018/5/9 12:02,--,--,--,"股票频道-精品池,财经频道-精品池,科技频道-精品池,广东地方站-精品池"
2208,5.9,安卓手机使用方式大变 应用切换变得跟iPhone X一样了,http://view.inews.qq.com/a/TEC2018050902671700,,Mashable中文站,数码,高,3,中,2018/5/9 15:48,2018/5/9 14:49,--,--,--,"科技频道-精品池,Top频道-精品池"
2209,5.9,MIT研发自动驾驶汽车导航新系统，开车再也不怕开错道,http://view.inews.qq.com/a/20180509A0ZSU900,,猎云网,科技,高,3,中,2018/5/9 15:48,2018/5/9 15:18,--,--,--,"科技频道-精品池,汽车频道-精品池,Top频道-精品池"
2210,5.9,Android P上手：手势操作加新应用管理 你想看的都在这,http://view.inews.qq.com/a/20180509A12J4P00,,爱范儿,数码,中,3,中,2018/5/9 16:05,2018/5/9 16:00,--,--,--,"数码频道-精品池,科技频道-精品池,Top频道-精品池"
2211,5.9,深网 | FB高层大换血：数据泄漏丑闻促成不可避免的架构调整,http://view.inews.qq.com/a/TEC2018050902476000,,,科技,高,4,中,2018/5/9 13:58,2018/5/9 13:57,--,--,--,"科技频道-精品池,Top频道-精品池,独家频道-精品池"
2212,5.9,获400万天使轮融资，骑加移动服务车店+B2B电商骑行新平台,http://view.inews.qq.com/a/20180509A0TXSV00,,猎云网,科技,中,3,中,2018/5/9 14:10,2018/5/9 13:33,--,--,--,"汽车频道-精品池,科技频道-精品池,汽车频道-热点池"
2213,5.9,百度携手北航启动全国深度学习师资培训班,http://view.inews.qq.com/a/20180509A12KBF00,,雷锋网,科技,中,3,中,2018/5/9 16:02,2018/5/9 16:00,--,--,--,科技频道-精品池
2214,5.9,钻石都能在实验室“养殖”了？看来人手一颗不是梦,http://view.inews.qq.com/a/20180509A0K6ZT00,,爱范儿,社会,中,3,中,2018/5/9 11:05,2018/5/9 10:50,--,--,--,"数码频道-精品池,科技频道-精品池,孝感地方站-精品池,天津分站-精品池,河南地方站-精品池,益阳地方站-精品池"
2215,5.9,小瓦扫地机器人图赏：千元持家精致大家伙，高颜值高能力,http://view.inews.qq.com/a/20180509A0Z4GS00,,雷科技,家居,中,3,中,2018/5/9 15:18,2018/5/9 15:08,--,--,--,"科技频道-精品池,数码频道-精品池"
2216,5.9,谷歌医疗AI新成果：用深度学习分析电子病历，预测患者病情发展,http://view.inews.qq.com/a/20180509A0ZX4N00,,雷锋网,科技,中,3,中,2018/5/9 15:50,2018/5/9 15:20,--,--,--,科技频道-精品池
2217,5.9,Google的Lookout应用帮助视障人士“看清”世界,http://view.inews.qq.com/a/20180509A0MT3Y00,,动点科技,科技,中,3,中,2018/5/9 15:50,2018/5/9 11:26,--,--,--,科技频道-精品池
2218,5.9,谷歌2018 I/O观感：AI生活从梦想照进现实,http://view.inews.qq.com/a/20180509A0PFC100,,DoNews,科技,中,3,中,2018/5/9 15:46,2018/5/9 12:02,--,--,--,科技频道-精品池
2219,5.9,从金融科技榜单，看金融科技下一个独角兽创业趋势,http://view.inews.qq.com/a/20180509A0TU4900,,雷锋网,科技,中,3,中,2018/5/9 15:46,2018/5/9 13:30,--,--,--,科技频道-精品池
2220,5.9,百度网盘iOS新版本推实况照片自动备份功能，但必须会员才能用,http://view.inews.qq.com/a/20180509A0MXES00,,郭静的互联网圈,数码,中,3,中,2018/5/9 15:44,2018/5/9 11:28,--,--,--,科技频道-精品池
2221,5.9,迪士尼收购福克斯或被截胡，复仇者联盟大战 X 战警要黄了？,http://view.inews.qq.com/a/20180509A0X9TF00,,爱范儿,科技,中,4,中,2018/5/9 15:36,2018/5/9 14:38,--,--,--,"科技频道-精品池,Top频道-精品池"
2222,5.9,区块链，Facebook的无可奈何和旧梦重拾,http://view.inews.qq.com/a/20180509A0VIAP00,,Neo区块链增长课堂,科技,高,3,中,2018/5/9 15:37,2018/5/9 15:25,--,--,--,"科技频道-精品池,Top频道-精品池"
2223,5.9,少了AI First口号谷歌I/O大会，也少了行业风向的新意,http://view.inews.qq.com/a/20180509A0O3FC00,,机器之能,科技,中,3,中,2018/5/9 15:42,2018/5/9 11:42,--,--,--,科技频道-精品池
2224,5.9,微软CEO：Windows是光环也是枷锁，卸下它才能走更远,http://view.inews.qq.com/a/20180509A0QOIR00,,猎云网,科技,中,3,中,2018/5/9 15:41,2018/5/9 12:17,--,--,--,科技频道-精品池
2225,5.9,网络公司放"校园贷"骗300余名学生，负责人被判10年,http://view.inews.qq.com/a/TEC2018050902412700,,新华社,法律,高,3,中,2018/5/9 13:21,2018/5/9 13:21,--,--,--,"科技频道-精品池,Top频道-精品池,广东地方站-精品池"
2226,5.9,小程序火了，内容电商如何借势崛起？,http://view.inews.qq.com/a/20180509A0QX3700,,钛媒体APP,科技,中,3,中,2018/5/9 13:30,2018/5/9 12:21,--,--,--,"传媒频道-精品池,科技频道-精品池"
2227,5.9,比尔盖茨电视受访盛赞苹果：真是一家了不起的公司,http://view.inews.qq.com/a/20180509V0XZG000,,,其他,中,3,中,2018/5/9 15:36,2018/5/9 15:17,--,--,--,科技频道-精品池
2228,5.9,橙光获亿元融资，领投方阿特列斯资本，景林资本和国金资本跟投,http://view.inews.qq.com/a/20180509A0Z61Z00,,文娱情报站,科技,中,3,中,2018/5/9 15:35,2018/5/9 15:09,--,--,--,科技频道-精品池
2229,5.9,骁龙660接班人 外媒曝光骁龙7系芯片，小米新机有望首发,http://view.inews.qq.com/a/20180509A10FAB00,,雷科技,数码,中,3,中,2018/5/9 15:33,2018/5/9 15:28,--,--,--,科技频道-精品池
2230,5.9,瑞为获英特尔战略投资，加速 AI 技术商业落地,http://view.inews.qq.com/a/20180509A0QM8L00,,雷锋网,科技,中,3,中,2018/5/9 15:30,2018/5/9 10:06,--,--,--,科技频道-精品池
2231,5.9,互联网黄金业务将迎重拳监管 代销机构不得提供任何形式账户服务,http://view.inews.qq.com/a/20180509A0RIRF00,,界面,财经,中,3,中,2018/5/9 13:17,2018/5/9 12:34,--,--,--,"股票频道-精品池,理财频道-精品池,科技频道-精品池"
2232,5.9,获100万种子轮融资，八号空间专注于打造精品校园共享住宿空间,http://view.inews.qq.com/a/20180509A0TM3V00,,猎云网,科技,中,3,中,2018/5/9 15:21,2018/5/9 13:25,--,--,--,科技频道-精品池
2233,5.9,单身姑娘们，AI男友系统了解一下？,http://view.inews.qq.com/a/20180509A0DG8U00,,虎嗅APP,科技,中,3,中,2018/5/9 9:59,2018/5/9 9:15,--,--,--,"科技频道-精品池,河北分站-精品池,河南地方站-精品池"
2234,5.9,获险峰、IDG联合投资，钛动科技重新定义出海效果广告,http://view.inews.qq.com/a/20180509A0V05V00,,猎云网,科技,中,3,中,2018/5/9 15:21,2018/5/9 13:56,--,--,--,科技频道-精品池
2235,5.9,马云突然现身母校杭师大：低调从后门进去旁听,http://view.inews.qq.com/a/20180509A0YYV000,,站长之家网站,科技,中,3,中,2018/5/9 15:19,2018/5/9 15:06,--,--,--,科技频道-精品池
2236,5.9,定位东南亚顺丰，闪电达获高榕资本千万美元投资,http://view.inews.qq.com/a/20180509A0UJTE00,,钛媒体APP,科技,中,3,中,2018/5/9 15:17,2018/5/9 13:46,--,--,--,科技频道-精品池
2237,5.9,遭今日头条索赔100万，自媒体人反击起诉，要求张一鸣道歉3天,http://view.inews.qq.com/a/20180509A0Q9K500,,AI财经社,法律,高,3,中,2018/5/9 12:28,2018/5/9 12:23,--,--,--,"科技频道-精品池,Top频道-精品池"
2238,5.9,被指预热文案越来越差，罗永浩狂怼网友：你懂个X,http://view.inews.qq.com/a/20180509A0IIFB00,,TechWeb,数码,中,3,中,2018/5/9 10:37,2018/5/9 10:27,--,--,--,"科技频道-精品池,开封地方站-精品池"
2239,5.9,董明珠再谈与雷军10亿赌局：备了50亿，决策不会错,http://view.inews.qq.com/a/20180509A0KKZG00,,AI财经社,科技,中,3,中,2018/5/9 11:00,2018/5/9 10:56,--,--,--,"科技频道-精品池,股票频道-精品池,理财频道-精品池,开封地方站-精品池"
2240,5.9,Apple Watch要“变脸”？圆形显示屏了解一下,http://view.inews.qq.com/a/20180509A0V0TI00,,TechWeb,数码,中,3,中,2018/5/9 14:39,2018/5/9 13:57,--,--,--,"科技频道-精品池,开封地方站-精品池"
2241,5.9,“14万买包子”的顾客找到了：付款额误输成密码，没看新闻,http://view.inews.qq.com/a/20180509A0P51W00,,澎湃新闻,社会,高,3,中,2018/5/9 11:59,2018/5/9 11:58,--,--,--,"安徽地方站-精品池,理财频道-精品池,广东地方站-精品池,重庆地方站-精品池,郑州地方站-精品池,遵义地方站-精品池,科技频道-精品池,Top频道-精品池,天津分站-精品池,开封地方站-精品池"
2242,5.9,平安好医生登陆港股，连亏3年成在线医疗第一股，击败丁香园春雨,http://view.inews.qq.com/a/20180505A09Q6S00,,财经天下周刊,科技,高,4,中,2018/5/9 14:56,2018/5/5 8:56,--,--,--,"科技频道-精品池,Top频道-精品池"
2243,5.9,日本HR服务商12亿美元收购美国求职网站Glassdoor,http://view.inews.qq.com/a/TEC2018050902663900,,腾讯科技,科技,高,3,中,2018/5/9 14:55,2018/5/9 14:47,--,--,--,"科技频道-精品池,Top频道-精品池"
2244,5.9,金融科技下南洋：东南亚将成“下一个中国”？,http://view.inews.qq.com/a/20180509A0KBN200,1,钛媒体APP,科技,中,3,中,2018/5/9 11:04,2018/5/9 10:52,--,--,--,"科技频道-精品池,财经频道-精品池"
2245,5.9,不要怕谷歌助手会打call，有“爱”的工作AI抢不走,http://view.inews.qq.com/a/20180509A0TNU600,,快公司,科技,中,3,中,2018/5/9 14:59,2018/5/9 13:26,--,--,--,科技频道-精品池
2246,5.9,Fictiv获创新工场等上千万美元投资，做制造业Airbnb,http://view.inews.qq.com/a/TEC2018050902647700,,腾讯科技,科技,高,3,中,2018/5/9 14:58,2018/5/9 14:42,--,--,--,科技频道-精品池
2247,5.9,腾讯音视频实验室参与制定下一代视频编解码国际标准,http://view.inews.qq.com/a/TEC2018050902656300,,腾讯科技,科技,高,3,中,2018/5/9 14:57,2018/5/9 14:44,--,--,--,科技频道-精品池
2248,5.9,《旅行青蛙》阿里汉化版来袭：你的青蛙将要开启一段中国之旅,http://view.inews.qq.com/a/20180505A0XWJ900,,雷科技,游戏,中,3,中,2018/5/9 14:56,2018/5/5 16:52,--,--,--,科技频道-精品池
2249,5.9,财报图解 | 京东净营收持续高增长 一季度增速达33%,http://view.inews.qq.com/a/TEC2018050902579400,,腾讯科技,科技,高,3,中,2018/5/9 14:34,2018/5/9 14:32,363869,1344,0.37%,"科技频道-精品池,Top频道-精品池"
2250,5.9,Uber事故新进展：除决策系统，无人驾驶还可能存在哪些问题？,http://view.inews.qq.com/a/TEC2018050902178600,1,腾讯科技,科技,高,3,中,2018/5/9 11:54,2018/5/9 11:33,--,--,--,"科技频道-精品池,Top频道-精品池,广东地方站-精品池"
2251,5.9,起底豆瓣刷分产业链：新片刷至6分只需5500元,http://view.inews.qq.com/a/TEC2018050900483000,,证券日报,娱乐,中,3,中,2018/5/9 7:31,2018/5/9 7:31,--,--,--,"科技频道-精品池,Top频道-精品池,必读频道-精品池,成都地方站（城市）-精品池,广东地方站-精品池,遂宁地方站-精品池,雅安地方站-精品池"
2252,5.9,日本人发明“女司机”专用车，同样是4个轮子却有这种奇效！,http://view.inews.qq.com/a/20180508V105PA00,,,其他,中,3,中,2018/5/9 14:40,2018/5/8 15:45,--,--,--,科技频道-精品池
2253,5.9,并非阿里，英特尔因何投资物联网芯片黑马乐鑫？,http://view.inews.qq.com/a/20180509A0BLJO00,,财经杂志,科技,中,3,中,2018/5/9 8:51,2018/5/9 8:44,--,--,--,"股票频道-精品池,财经频道-精品池,科技频道-精品池"
2254,5.9,蚁视转战 AR：VR 领域的创业公司都基本没戏了,http://view.inews.qq.com/a/20180509A0VUNM00,,动点科技,科技,中,3,中,2018/5/9 14:35,2018/5/9 14:13,--,--,--,科技频道-精品池
2255,5.9,谷歌大会：AI First的背后是对未来智能设备普及的前瞻,http://view.inews.qq.com/a/20180509A0VXCN00,,AI星球,科技,中,3,中,2018/5/9 14:34,2018/5/9 14:14,--,--,--,科技频道-精品池
2256,5.9,一线 | 蔚来第二款车型ES6将继续由江淮负责生产,http://view.inews.qq.com/a/TEC2018050902298800,,一线,汽车,高,3,中,2018/5/9 12:08,2018/5/9 12:04,--,--,--,"科技频道-精品池,Top频道-精品池"
2257,5.9,4分钟看完谷歌I/O大会 AI全面来袭令观众惊叹连连,http://view.inews.qq.com/a/20180509V0SGW200,,,其他,高,3,中,2018/5/9 13:23,2018/5/9 13:00,--,--,--,"Top视频-精品池,科技频道-精品池,Top频道-精品池"
